date;Short Name;trip_headsign;stop_name;stop_id;arrival_time;departure_time;exception_type;stop_sequence;shape_id;timepoint;route_long_name;route_type;route_url;route_color;route_text_color;stop_lat;stop_lon;wheelchair_boarding
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Sant Boi;BO;23:03:45;23:04:15;1;10;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;13:26:40;13:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;17:48:30;17:49:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;12:26:40;12:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;18:48:30;18:49:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;13:06:30;13:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Sant Boi;BO;19:34:45;19:35:15;1;10;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;14:06:30;14:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;22:26:25;22:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;07:26:40;07:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;21:26:25;21:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;09:06:30;09:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;22:48:45;22:49:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R63;Pl. Espanya;Capellades;CA;22:57:30;22:58:00;1;4;200057;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
